song_rank,song_name,artist
1,我以為你不會出現 (Take me with you) - UAG安全感形象曲,告五人
2,都是我的錯 (It’s all my fault),蕭秉治
3,逃 (Run away),蕭秉治
4,平分慚愧,邱鋒澤
5,一周的朋友 - 電影《一周的朋友》主題曲,田馥甄 (Hebe)
6,毒藥 (Addiction),蕭秉治
7,內傷,蕭煌奇
8,But I,吳霏 (FEI)
9,說太多 (Say Too Much) - 周興哲〔Odyssey~旅程〕巡迴演唱會主題曲,Eric 周興哲
10,可,"薛之謙, 張靚穎"
11,不為什麼 (Unknown),原子少年 金水聯盟
12,披星戴月的想你 (Miss you day and night),琳誼 Ring
13,Kiss Me (Kiss Me),Karencici (Karencici)
14,Matters,高爾宣 OSN
15,jagi (feat. KIRE),孫盛希 Shi Shi feat. KIRE
16,查某囡仔,蕭煌奇
17,我需要一些孤獨 (八大原創戲劇《親愛的亞當》插曲) (A revolution of love),曾沛慈 (Pets Tseng)
18,My Bae (My Bae) - 來吧！營業中 片頭曲,炎亞綸
19,NFT,MC HotDog熱狗
20,哎呀哎呀 (OOPS),魏如萱 (waa wei)
21,Lamborghini Vroom,原子少年 火土聯盟
22,愛你 (AINI so Dope) - 超深情版,"陳芳語 (Kimberley Chen), 血肉果汁機 (Flesh Juicer)"
23,"遠距離練習 (電影《我是真的討厭異地戀》主題曲) (Far Away from You (Theme Song from ""Stay with Me""))",徐佳瑩 (LaLa Hsu)
24,Clap,原子少年 海木聯盟
25,準明星 (Like a Star),徐佳瑩 (LaLa Hsu)
26,一樣的夜空 (The Night Sky),原子少年 海木聯盟
27,漂流一百天,寬仔 KayC
28,篇章 (Pages),"張韶涵, 王赫野"
29,過渡期,施語庭
30,烏有 (Vanished),同理 Zunya
31,WANT TOO (feat. KIRE),"吳思賢 (Ben Wu), KIRE"
32,Moon Party,RED芮德
33,像他一樣 (feat. 蔡恩雨),"黃明志, 蔡恩雨"
34,Got You on My Mind (森林 Version) - WINDIE 收OUT！	Got You on My Mind (Forest Version) - WINDIE SHOW OUT!,桃子A1J
35,It's On,吳建豪 (Van Ness Wu)
36,慢冷,蕭煌奇
37,春泥 (Chun Ni),"琳誼 Ring, 邱軍"
38,還原 (Reset),文慧如 (Boon Hui Lu)
39,遇見你之前 (Me Before You) - 電視劇《親愛的亞當》片尾曲,陳佩賢 (Jesslyn)
40,可以呀 (Kya),PINK FUN
41,午後迷茫2021,荷爾蒙少年 Hormone boys
42,飆,李佳薇
43,摔壞最後的奢望,賴晏駒 (Lai)
44,Honey Honey,郑兴
45,思念是一種病 (SI NIAN SHI YI ZHONG BING),"琳誼 Ring, 黃奕儒Ezu"
46,小壞壞,Sam Lin
47,三生三幸,海來阿木
48,一如既往,藍心羽
49,Summer Hook,"MAD, TOPAZ"
50,單人券,張齊山 DanieL
